Date,Contract,Units,$Volume,LowPrice,HighPrice,AvgPrice,LastPrice
10/19/00,Reform,7,0.004,0,0.001,0.001,0
10/19/00,Rep,"1,753",895.818,0.485,0.525,0.511,0.524
10/20/00,Dem,"1,752",814.281,0.425,0.49,0.465,0.435
10/20/00,Reform,5,0.001,0,0.001,0,0
10/20/00,Rep,588,321.046,0.519,0.57,0.546,0.565
10/21/00,Dem,"1,866",752.168,0.301,0.464,0.403,0.4
10/21/00,Reform,330,0.01,0,0.001,0,0
10/21/00,Rep,"1,335",780.322,0.536,0.625,0.585,0.623
10/22/00,Dem,"1,285",480.686,0.335,0.415,0.374,0.371
10/22/00,Reform,0,0,0,0,,0
10/22/00,Rep,"1,266",813.472,0.615,0.68,0.643,0.648
10/23/00,Dem,"4,712","1,773.72",0.35,0.448,0.376,0.401
10/23/00,Reform,673,0.141,0,0.001,0,0
10/23/00,Rep,"3,661","2,344.40",0.58,0.699,0.64,0.617
10/24/00,Dem,"4,207","1,765.63",0.399,0.464,0.42,0.445
10/24/00,Reform,279,0.273,0,0.001,0.001,0
10/24/00,Rep,"2,792","1,635.27",0.54,0.65,0.586,0.54
10/25/00,Dem,"3,205","1,486.79",0.42,0.491,0.464,0.432
10/25/00,Reform,"4,202",0.002,0,0.001,0,0
10/25/00,Rep,"2,066","1,115.07",0.5,0.6,0.54,0.579
10/26/00,Dem,873,371.322,0.4,0.444,0.425,0.418
10/26/00,Reform,349,0.348,0,0.001,0.001,0
10/26/00,Rep,566,326.389,0.555,0.599,0.577,0.582
10/27/00,Dem,582,237.322,0.386,0.426,0.408,0.387
10/27/00,Reform,76,0.001,0,0.001,0,0
10/27/00,Rep,423,252.813,0.574,0.62,0.598,0.62
10/28/00,Dem,"1,555",518.999,0.251,0.399,0.334,0.287
10/28/00,Reform,897,0.03,0,0.001,0,0
10/28/00,Rep,"1,329",878.009,0.619,0.747,0.661,0.681
10/29/00,Dem,"1,074",356.022,0.277,0.355,0.331,0.354
10/29/00,Reform,292,0.1,0,0.001,0,0
10/29/00,Rep,925,623.109,0.646,0.689,0.674,0.67
10/30/00,Dem,"2,352",838.334,0.315,0.375,0.356,0.375
10/30/00,Reform,80,0.006,0,0.001,0,0
10/30/00,Rep,"1,083",707.91,0.61,0.686,0.654,0.61
10/31/00,Dem,"1,246",474.869,0.36,0.399,0.381,0.377
10/31/00,Reform,1,0,0,0.001,0,0
10/31/00,Rep,"1,772","1,089.26",0.59,0.635,0.615,0.61
